framework,size,run,wall_seconds,exit_code,timestamp
mapreduce,50,1,46,0,2026-05-15T16:07:21Z
sparkcore,50,1,17,0,2026-05-15T16:07:40Z
sparksql,50,1,17,0,2026-05-15T16:07:59Z
hiveql,50,1,37,0,2026-05-15T16:08:39Z
mapreduce,50,2,43,0,2026-05-15T16:09:24Z
sparkcore,50,2,14,0,2026-05-15T16:09:39Z
sparksql,50,2,14,0,2026-05-15T16:09:54Z
hiveql,50,2,36,0,2026-05-15T16:10:31Z
mapreduce,50,3,43,0,2026-05-15T16:11:15Z
sparkcore,50,3,14,0,2026-05-15T16:11:31Z
sparksql,50,3,13,0,2026-05-15T16:11:45Z
hiveql,50,3,38,0,2026-05-15T16:12:24Z
mapreduce,100,1,49,0,2026-05-15T16:13:15Z
sparkcore,100,1,21,0,2026-05-15T16:13:38Z
sparksql,100,1,17,0,2026-05-15T16:13:58Z
hiveql,100,1,47,0,2026-05-15T16:14:47Z
mapreduce,100,2,46,0,2026-05-15T16:15:36Z
sparkcore,100,2,20,0,2026-05-15T16:15:58Z
sparksql,100,2,16,0,2026-05-15T16:16:16Z
hiveql,100,2,49,0,2026-05-15T16:17:06Z
mapreduce,100,3,50,0,2026-05-15T16:17:57Z
sparkcore,100,3,22,0,2026-05-15T16:18:20Z
sparksql,100,3,16,0,2026-05-15T16:18:37Z
hiveql,100,3,50,0,2026-05-15T16:19:28Z
mapreduce,200,1,54,0,2026-05-15T16:20:25Z
sparkcore,200,1,32,0,2026-05-15T16:21:00Z
sparksql,200,1,25,0,2026-05-15T16:21:27Z
hiveql,200,1,58,0,2026-05-15T16:22:28Z
mapreduce,200,2,53,0,2026-05-15T16:23:24Z
sparkcore,200,2,28,0,2026-05-15T16:23:53Z
sparksql,200,2,23,0,2026-05-15T16:24:17Z
hiveql,200,2,94,0,2026-05-15T16:25:52Z
mapreduce,200,3,64,0,2026-05-15T16:26:57Z
sparkcore,200,3,37,0,2026-05-15T16:27:36Z
sparksql,200,3,29,0,2026-05-15T16:28:06Z
hiveql,200,3,74,0,2026-05-15T16:29:21Z
mapreduce,400,1,79,0,2026-05-15T16:30:43Z
sparkcore,400,1,45,0,2026-05-15T16:31:30Z
sparksql,400,1,42,0,2026-05-15T16:32:15Z
hiveql,400,1,95,0,2026-05-15T16:33:52Z
mapreduce,400,2,75,0,2026-05-15T16:35:10Z
sparkcore,400,2,73,0,2026-05-15T16:36:24Z
sparksql,400,2,46,0,2026-05-15T16:37:12Z
hiveql,400,2,177,0,2026-05-15T16:40:11Z
mapreduce,400,3,77,0,2026-05-15T16:41:30Z
sparkcore,400,3,52,0,2026-05-15T16:42:24Z
sparksql,400,3,45,0,2026-05-15T16:43:10Z
hiveql,400,3,87,0,2026-05-15T16:44:39Z
hiveql_pipelined,50,1,33,0,2026-05-18T09:02:16Z
hiveql_pipelined,50,2,42,0,2026-05-18T09:02:58Z
hiveql_pipelined,50,3,35,0,2026-05-18T09:03:33Z
hiveql_pipelined,100,1,43,0,2026-05-18T09:04:16Z
hiveql_pipelined,100,2,45,0,2026-05-18T09:05:01Z
hiveql_pipelined,100,3,46,0,2026-05-18T09:05:47Z
hiveql_pipelined,200,1,59,0,2026-05-18T09:06:46Z
hiveql_pipelined,200,2,57,0,2026-05-18T09:07:43Z
hiveql_pipelined,200,3,56,0,2026-05-18T09:08:39Z
hiveql_pipelined,400,1,78,0,2026-05-18T09:09:57Z
hiveql_pipelined,400,2,82,0,2026-05-18T09:11:19Z
hiveql_pipelined,400,3,93,0,2026-05-18T09:12:52Z
