framework,size,run,wall_seconds,exit_code,timestamp
mapreduce,sample,1,41,0,2026-05-13T17:17:11Z
sparkcore,sample,1,8,0,2026-05-13T17:17:22Z
sparksql,sample,1,9,0,2026-05-13T17:17:33Z
hiveql,sample,1,27,2,2026-05-13T17:18:02Z
mapreduce,sample,1,40,0,2026-05-13T17:19:53Z
sparkcore,sample,1,6,0,2026-05-13T17:20:02Z
sparksql,sample,1,9,0,2026-05-13T17:20:14Z
hiveql,sample,1,55,0,2026-05-13T17:21:12Z
mapreduce,sample,1,41,0,2026-05-14T08:43:29Z
sparkcore,sample,1,7,0,2026-05-14T08:43:40Z
sparksql,sample,1,9,0,2026-05-14T08:43:54Z
hiveql,sample,1,27,0,2026-05-14T08:44:25Z
mapreduce,full,1,59,0,2026-05-14T08:55:18Z
sparkcore,full,1,29,0,2026-05-14T08:55:51Z
sparksql,full,1,38,0,2026-05-14T08:56:44Z
hiveql,full,1,59,0,2026-05-14T08:57:46Z
mapreduce,50,1,45,0,2026-05-15T15:17:45Z
sparkcore,50,1,14,0,2026-05-15T15:18:01Z
sparksql,50,1,13,0,2026-05-15T15:18:16Z
hiveql,50,1,39,0,2026-05-15T15:18:58Z
mapreduce,50,1,45,0,2026-05-15T15:22:19Z
sparkcore,50,1,14,0,2026-05-15T15:22:35Z
sparksql,50,1,12,0,2026-05-15T15:22:50Z
hiveql,50,1,39,0,2026-05-15T15:23:32Z
mapreduce,100,1,48,0,2026-05-15T15:31:42Z
sparkcore,100,1,25,0,2026-05-15T15:32:09Z
sparksql,100,1,21,0,2026-05-15T15:32:33Z
hiveql,100,1,54,0,2026-05-15T15:33:29Z
mapreduce,200,1,51,0,2026-05-15T15:34:34Z
sparkcore,200,1,28,0,2026-05-15T15:35:05Z
sparksql,200,1,23,0,2026-05-15T15:35:30Z
hiveql,200,1,60,0,2026-05-15T15:36:33Z
mapreduce,400,1,76,0,2026-05-15T15:59:42Z
sparkcore,400,1,52,0,2026-05-15T16:00:37Z
sparksql,400,1,43,0,2026-05-15T16:01:22Z
hiveql,400,1,126,0,2026-05-15T16:03:31Z
