tecnologia;tempo;dimensioni_dataset;piattaforma
Hive;33,808;100;locale
Hive;56,595;200;locale
Hive;101,681;400;locale
Hive;21,333;50;locale
SparkCore;28,5881;100;locale
SparkCore;42;200;locale
SparkCore;65,368;400;locale
SparkCore;22,76;50;locale
SparkSQL;19,492;50;locale
SparkSQL;23,521;100;locale
SparkSQL;30,423;200;locale
SparkSQL;63,716;400;locale
MapReduce;21,45;50;locale
MapReduce;30,46;100;locale
MapReduce;45,25;200;locale
MapReduce;74,96;400;locale
Hive;35,11;100;cluster
Hive;33,72;200;cluster
Hive;45,87;400;cluster
Hive;27,7;50;cluster
SparkCore;25,574;100;cluster
SparkCore;29,634;200;cluster
SparkCore;36,824;400;cluster
SparkCore;23,369;50;cluster
SparkSQL;19,631;50;cluster
SparkSQL;18,508;100;cluster
SparkSQL;20,43;200;cluster
SparkSQL;25,469;400;cluster
MapReduce;26,86;50;cluster
MapReduce;28,61;100;cluster
MapReduce;34,25;200;cluster
MapReduce;40,67;400;cluster
;;;
