origin,month,basso_count,basso_dep_delay_avg,basso_arr_delay_avg,medio_count,medio_dep_delay_avg,medio_arr_delay_avg,alto_count,alto_dep_delay_avg,alto_arr_delay_avg,top_causa_1,top_causa_2,top_causa_3
ABE,1,180,6.533333333333333,-0.7111111111111111,124,34.32258064516129,32.5,120,241.3,234.03333333333333,nas_delay,carrier_delay,late_aircraft_delay
ABE,2,128,6.03125,-6.09375,80,29.7,10.105263157894736,56,227.92857142857142,217.92857142857142,nas_delay,carrier_delay,late_aircraft_delay
ABE,3,188,7.25531914893617,-6.574468085106383,112,30.678571428571427,19.892857142857142,92,173.43478260869566,163.3913043478261,late_aircraft_delay,nas_delay,carrier_delay
ABE,4,156,5.564102564102564,-4.82051282051282,116,33.44827586206897,27.655172413793103,116,258.6551724137931,250.3793103448276,carrier_delay,late_aircraft_delay,nas_delay
ABE,5,176,6.386363636363637,2.1818181818181817,104,30.076923076923077,29.576923076923077,160,180.625,177.12820512820514,nas_delay,late_aircraft_delay,carrier_delay
ABE,6,164,5.7073170731707314,-1.170731707317073,152,27.394736842105264,17.216216216216218,152,173.92105263157896,172.32432432432432,carrier_delay,late_aircraft_delay,nas_delay
ABE,7,148,6.081081081081081,-0.918918918918919,164,34.609756097560975,30.146341463414632,148,138.0810810810811,137.0810810810811,late_aircraft_delay,carrier_delay,nas_delay
ABE,8,136,5.676470588235294,3.5,168,32.023809523809526,27.976190476190474,108,146.96296296296296,144.2962962962963,late_aircraft_delay,nas_delay,carrier_delay
ABE,9,124,7.161290322580645,-0.03225806451612903,100,37.84,32.875,64,265.0625,261.25,late_aircraft_delay,carrier_delay,nas_delay
ABE,10,160,6.6,-3.45,124,26.225806451612904,11.96774193548387,72,193.16666666666666,183.83333333333334,carrier_delay,late_aircraft_delay,nas_delay
ABE,11,156,6.846153846153846,-3.6923076923076925,96,31.625,21.75,56,165.21428571428572,152.42857142857142,late_aircraft_delay,carrier_delay,nas_delay
ABE,12,200,6.74,0.8979591836734694,136,32.5,24.575757575757574,136,229.02941176470588,222.14705882352942,carrier_delay,late_aircraft_delay,nas_delay
ABI,1,68,6.764705882352941,10.941176470588236,44,38.90909090909091,36.72727272727273,52,113.46153846153847,123.84615384615384,late_aircraft_delay,nas_delay,weather_delay
ABI,2,40,7.4,12.0,32,33.875,33.75,4,99.0,88.0,nas_delay,late_aircraft_delay,carrier_delay
ABI,3,68,5.882352941176471,5.588235294117647,52,24.076923076923077,27.076923076923077,48,132.66666666666666,134.08333333333334,late_aircraft_delay,nas_delay,carrier_delay
ABI,4,72,6.5,4.222222222222222,60,31.466666666666665,29.6,48,129.66666666666666,126.16666666666667,late_aircraft_delay,weather_delay,nas_delay
ABI,5,80,5.9,0.35,104,27.884615384615383,25.03846153846154,88,190.6818181818182,195.5909090909091,late_aircraft_delay,nas_delay,carrier_delay
ABI,6,72,8.88888888888889,5.333333333333333,72,28.333333333333332,25.72222222222222,52,116.53846153846153,108.76923076923077,late_aircraft_delay,nas_delay,carrier_delay
ABI,7,80,6.15,1.1,92,30.130434782608695,30.869565217391305,40,127.0,122.5,late_aircraft_delay,nas_delay,carrier_delay
ABI,8,68,6.117647058823529,2.0588235294117645,48,27.25,22.666666666666668,8,91.5,89.5,late_aircraft_delay,carrier_delay,nas_delay
ABI,9,56,7.214285714285714,3.7857142857142856,56,28.428571428571427,23.428571428571427,32,108.875,99.125,late_aircraft_delay,carrier_delay,nas_delay
ABI,10,60,7.466666666666667,0.06666666666666667,12,32.0,32.0,16,135.5,125.5,late_aircraft_delay,carrier_delay,nas_delay
